journey_id,journey_duration,end_date,end_month,end_year,end_hour,end_minute,end_station_id,start_date,start_month,start_year,start_hour,start_minute,start_station_id
113,360,14,9,17,18,40,113,14,9,17,18,34,44
114,900,19,9,17,8,48,114,19,9,17,8,33,29
115,1080,16,9,17,14,0,115,16,9,17,13,42,66
116,1080,17,9,17,15,32,116,17,9,17,15,14,27
117,420,14,9,17,12,16,117,14,9,17,12,9,4
118,240,19,9,17,7,32,118,19,9,17,7,28,137
119,600,14,9,17,11,26,119,14,9,17,11,16,112
120,2040,19,9,17,18,0,120,19,9,17,17,26,1
121,240,18,9,17,14,27,121,18,9,17,14,23,105
122,720,18,9,17,9,0,122,18,9,17,8,48,138
123,240,18,9,17,14,47,123,18,9,17,14,43,53
124,1320,14,9,17,13,14,124,14,9,17,12,52,18
125,960,19,9,17,8,11,125,19,9,17,7,55,70
126,1200,17,9,17,11,38,126,17,9,17,11,18,88
127,600,18,9,17,7,55,127,18,9,17,7,45,115
128,1140,19,9,17,8,50,128,19,9,17,8,31,56
129,1140,16,9,17,17,51,129,16,9,17,17,32,86
130,1080,17,9,17,18,34,130,17,9,17,18,16,38
131,960,15,9,17,12,19,131,15,9,17,12,3,59
132,1200,13,9,17,19,33,132,13,9,17,19,13,5
133,1860,15,9,17,18,48,133,15,9,17,18,17,35
134,240,14,9,17,19,7,134,14,9,17,19,3,131
135,720,14,9,17,8,13,135,14,9,17,8,1,73
136,1080,16,9,17,12,8,136,16,9,17,11,50,87
137,2100,15,9,17,8,46,137,15,9,17,8,11,37
138,420,18,9,17,8,53,138,18,9,17,8,46,11
139,480,17,9,17,12,18,139,17,9,17,12,10,119
140,1380,15,9,17,0,17,140,14,9,17,23,54,144
141,1260,13,9,17,8,42,141,13,9,17,8,21,147
142,480,13,9,17,12,45,142,13,9,17,12,37,92
143,600,16,9,17,7,3,143,16,9,17,6,53,123
144,1140,15,9,17,17,1,144,15,9,17,16,42,3
145,1020,16,9,17,13,30,145,16,9,17,13,13,85
146,600,14,9,17,15,13,146,14,9,17,15,3,20
147,1320,14,9,17,14,53,147,14,9,17,14,31,6
148,720,18,9,17,17,50,148,18,9,17,17,38,76
149,720,17,9,17,12,12,149,17,9,17,12,0,136
150,1020,16,9,17,13,30,150,16,9,17,13,13,91
